Number,Questions,Reasoning,Numerical Answer (If available),Nearest Power of ten
16,How many dollars worth of salmon does an adult female brown bear consume a year?,,,4
17,"The board game Monopoly includes a certain amount of money for the bank and a number of “Get
Out of Jail Free” cards. Suppose the bank money is equivalent to real life money and each card is worth the
median bail in California, how many Monopoly sets would you need to purchase the average home in Palo Alto
in 2021?",,,1
18,"Assuming that the Emus won the Emu War with the minimum number of emus they needed to win
and that the chances of the emus winning is proportional to human population, how many emus would there
have to be worldwide in order to win an Emu War against all humans today?",,,7
19,How much would it cost in USD to cover the average American house in 24 inches of fake snow?,,,6
20,How many molecules of ATP are used in an average human in one day?,,,26
21,"The NBA trade deadline was pretty recent. What is the total value in Japanese Yen of all contracts
traded on the trade deadline?",,,10
22,"How many Greek triremes could float on the Aegean Sea, packed as tightly as possible but not stacked
on top of one another?",,,9
23,"How many times more money would you gain from sweeping gold medals in the Winter Olympics
(and selling for the equivalent precious metal value) compared to sweeping gold medals at a 23 event Science
Olympiad competition (and selling for the purchase value)?",,,3
24,"The winner of the 2013 MIT Mystery Hunt’s team name was the complete text of Atlas Shrugged.
How many words long is that team’s name?",,,6
25,"How many times more energy is released due to the mass-energy equivalent of of glucose compared
to the metabolism of glucose?",,,10
26,How many characters are in the text of this test?,,,4
27,What is the mass of all humans on Earth in daltons?,,,39
28,How many ways are there to make change for a dollar?,,,2
29,"What is the worldwide coffee bean production, in picograms?",,,25
30,How many gallons of water does it take to grow one almond?,,,0
31,"What is the difference in dollars between the amount of Skittles and the amount of Swedish Fish sold
in the US in 2017?",,,8
32,What percent of the world’s salt is used to de-ice American roads?,,,1
33,How much power (in Watts) did the space shuttle consume?,,,4
34,"There are a total of 636 teams attending the 2022 BirdSO tournaments. Suppose geon, in their
benevolence, decided to give away free T-Shirts to four teams. How many ways are there to randomly select
those four winners?",,,10
35,"The mantis shrimp has sixteen color-receptive cones. One can assume that if they developed advanced
technology, they would eventually create RGBESUCLYKNOZWJM LEDs (as opposed to our RGB LEDs). If
each color can have an intensity level of 0 to 6, how many possible colors would there be?",,,13
36,How many carbon atoms does an average size antigen contain?,,,2
37,"We are designing a space station that can mimic Earth’s gravity using centrifugal acceleration. Sup-
pose the space station is a spinning torus with a diameter equal to the width of the ISS, what angular acceleration

would be needed, in arcseconds per second?",,,5
38,"In Beauty and the Beast, Gaston famously ate 4 dozen eggs each day in his childhood (let’s assume
until age 18), and then upon adulthood, he ate 5 dozen eggs each day. How many kilocalories worth of protein
has Gaston eaten from eggs in his life so far? Gaston is canonically 25 years old.",,,7
39,"Minecraft Steve decides to rob a bank. He mines through the obsidian walls and fills his inventory
(36 slots) with stacks (64 items per stack) of gold blocks (each block is 1 meter^3

). What equivalent USD value

of gold did Steve escape with?",,,12
40,How many meters would a strand of DNA be that could hold the entire data storage of the internet?,,,14
41,Count the number of unique homeomorphically irreducible trees of size n=10.,,,1
42,"In case you weren’t aware, Donkey Kong’s Coconut Gun can fire in spurts. What the DK Rap didn’t
tell you was that his Coconut Gun can also fire constantly, shooting coconuts about as quickly as a real-life
machine gun. If Donkey Kong were to buy all the coconuts produced in the world in 2020, how many hours
could he fire his coconut gun before running out of coconuts?",,,6
43,How many attoparsecs are in a foot?,,,1
44,Norway is the 118th most populous country in the world. What is the population of Norway?,,,7
45,"How many fish are there, on average, per meter cubed of water in the earths ocean?",,,-6
46,"The James Webb Space Telescope was recently deployed to L2, a point of equilibrium (one of five) in
space relative to the Sun and the Earth. The equation to calculate L2 is M_1/(R+r)^2 + M_2/r^2 =
((M_1*R/(M1+M2)) + r)*(M1+M2)/R^3
where M1 is the mass of the larger object, M2 is the mass of the smaller object, R is the distance between the
two objects, and r is the distance to L2 from the smaller object. Calculate the distance, in meters, to L2 for a
system with a 2.0 × 10^30 firkin and a 1.5 × 10^22 firkin object that are 2.2 × 10^10 furlongs apart.",,,10
47,"How many 2 liters bottles of Coke would you need to bottle such that the amount of CO2 in the Coke
is equivalent to the amount of CO2 released from streaming everything on Netflix?",,,4
48,"Express Hubble’s constant (taken as 68 km/s/Mpc) in Planck units, given: 1 Planck Length =
1.616255 × 10^?35 m, 1 Planck Mass = 2.176434 × 10^?8 kg, 1 Planck Time = 5.391247 × 10^?44 s",,,-61
49,"How many prime numbers are there that are less than the number of kilometers that equal the
diameter of the observable universe?",,,22
50,"The AIME has fifteen questions, each of which with an answer that is an integer from 000 to 999
inclusive. If you guessed all the questions on the AIME, what is the probability that you get exactly 12 questions
correct?",,,-34
51,"The median person has ten fingers and can easily press ten keys on a keyboard at once. They could
even use their palms to press more keys. Suppose the median American woman (by weight) can somehow
distribute their entire body mass to press keys. How many Anne Pro 2 60% keyboards with Gateron Brown
switches could they press down at once?",,,2
52,Compute 2^2^2^2^2,,,19728
53,"Express Coulomb’s constant

8.988 × 10^9 kg m^3/s^2 * C^2
using the units

(picogram)*(smoot)^2*(miles)/((Planck time)(femtosecond)(exacoulomb)(yottacoulomb))",,,-22
54,"Calculate 2[6]2 (alternate formatting 2????2) where [6] or ???? represents hexation. Hexation is
defined as iterated pentation, pentation is defined as iterated tetration, and tetration is defined as iterated
exponentiation. (Exponentiation is iterated multiplication, and multiplication is iterated addition).",,,0
55,"In the video game Stardew Valley, one cup of coffee costs 300g (g is the in-game currency). Buying
three coffees in the game allows you to cook a Triple-Shot Espresso, which sells for 450g. If you were to convert
the United States’ yearly coffee consumption into Triple-Shot Espresso, how much g would you lose?",,,13
56,"How many buckminsterfullerene (buckyballs) can you create using all the carbon in the air inside a
standard soccer ball?",,,15
57,"Convert 1 (tons4 × nanograms3 × parsecs2 × years) / (attoseconds2 × light year × pounds3 ×
kilograms3) to newton-seconds (standard SI units)",,,46
58,"If I randomly shot a bullet horizontally at a 1 cm wide target 10 meters away every minute with my
mouth wide open and pointed to the sky, and everytime I hit the target, a flying bird would poop somewhere on
earth, and everytime I had bird poop land into my mouth, I would run a one mile loop, how many food calories
would I burn purely from running in a galactic year?",,,-5
59,"If all of the energy from a type Ia supernova was pumped into the ice in Antarctica, what would be
the final temperature of the ice?",,,21
60,"If a photon with a wavelength of Planck’s length were to collapse its mass-energy equivalent to a black
hole, how long in seconds would it take for this black hole to evaporate due to Hawking radiation, given that
the lifetime of a black hole with the mass of the sun is around 2E67 years, and that time taken to evaporate is
inversely proportional to the mass3
?",,,-37
1,"Assuming notes actually get that high, what is the frequency of E300?",,,91
2,"What would the minimum population of the United States be so that the GDP per capita would be
below 1?",,,13
3,"How many people would need to be in a room so that the probability 2 people randomly selected from
the room share a birthday is at least 99.9999",,,2
4,How many characters are in this bizarre sentence?,,,1
5,How many keys are on the standard US keyboard layout?,,,2
6,How many times older is the first bird-line archosaurs compared to BirdSO?,,,8
7,How many atoms are in a human body?,,,28
8,What is the circumference of the sun in millimeters?,,,12
9,What is the mass of the moon in tons?,,,20
10,How many cows are in the world?,,,9
11,"On average, how many feathers are on a pigeon?",,,4
12,"In Iowa 2020, how many ears of corn were harvested per baby ear born?",,,6
13,"What is the average frequency of light emitted by an American robin egg, in hertz?",,,15
14,How many creases are in a brown paper bag?,,,1
15,"If each mango tree leaf was $1, how many bluefin tunas can you buy with one mango tree?",,,0
16,"How many crows would actually be needed for a murder, that is, how many crows would it take so that
their combined weight would crush a human being by breaking their bones?",,,3
17,"How many direct airplane flights between Los Angeles (LAX) and New York City (JFK) could you take
back and forth in the time since the end of the Mesozoic Era?",,,11
18,"How many Quiz Bowl Tossups can someone read aloud in the time it takes a top-5 Super Mario Odyssey
speedrunner to complete the game Any%?",,,2
19,"Twister Feast starts a campaign called teamteas. If they are successful in their goal in dumping 40 million
cups of tea into the world ocean, by what percent does the world ocean’s total volume increase?",,,-12
20,"Suppose that Starbucks buys out The Roost (Brewster’s coffee shop) in Animal Crossing: New Leaf. If
one cup of coffee costs 200 Bells, how much money, in US dollars, does one need to pay to Tom Nook in order to
completely expand their house?",,,5
21,"How many characters are in the source code for the official YouTube video of “Never Gonna Give You
Up”?",,,6
22,"How many Olympic-sized swimming pools would you have to dig out of the ground in order to have a pile
of dirt weighing the same as an adult blue whale?",,,-2
23,"I have a wall that is the size of Greenland. How many 2-gallon buckets of paint do I need to completely
paint my wall?",,,10
24,How many hairs are on all the heads at a typical NFL game?,,,10
25,How many Amazon boxes could be made from all the trees in the Amazon rainforest?,,,14
26,"What percentage of food produced worldwide are poultry and other products derived from domesticated
birds?",,,0
27,"Express the ideal gas constant in units of (volume of the Pacific Ocean)(pressure at the bottom of the
Mariana Trench)/((Rankine)(mol))",,,-25
28,How many traffic lights are there in the United States?,,,5
29,What is the worldwide sugar consumption in grams per year?,,,14
30,What is the tensile strength of Kevlar rope in Pascals?,,,9
31,"How many unique ways are there to arrange 5 red, 5 blue, 5 green, and 5 yellow marbles?",,,10
32,"In Squid Game, assuming the players cooperate, what is the probability of everyone dying on the game
glass bridge? (16 players, 18 tiles)",,,-3
33,How many atoms of Hydrogen do humans intake due to the consumption of Aspirin?,,,22
34,What is the temperature of the cosmic microwave background in degrees Delisle?,,,3
35,What is the volume of a Minecraft world in 1.18 in blocks?,,,18
36,"Let “A” map to 1, “B” to 2, and so on, up to “Z” to 26. What is the expected product of 10 letters taken
from any English text?",,,9
37,"Take the current 3-6-3 cup stacking world record (1 stack of 6 cups and 2 stacks of 3 cups) as the speed
at which 12 cups can be placed. Assuming you have to stack in a pyramid (each row down must have one additional
cup), how long would it take to stack from Earth to the asteroid belt, in seconds?",,,23
38,How many times greater is the average separation of water molecules than the covalent bond within them?,,,0
39,"What is the additional acceleration of Voyager 1 by shining a red laser pointer at it, in meters per second
squared?",,,-15
40,How many satellites are currently orbiting the Earth for every moon of Uranus?,,,3
41,How many sievert of radiation were in the 2002 production of bananas in Uganda?,,,3
42,How many grains of tapioca starch fit into the volume of one boba pearl?,,,8
43,"Assuming constant area density of cells and a laboratory setting, what is the average speed of expansion
of a 2 meter diameter flat circle of E. coli, in miles per Pentium 4 clock cycle?",,,-17
44,"Assuming a Bluetooth 4 connection, how many Airpod earbuds would you need to cover the entire Earth?",,,10
45,"If we provide every bird in the world with a bird house, how many Congo rainforests would we need to
chop down?",,,-4
46,"How many Dyck paths are there from (0, 0) to (420, 420)?
A Dyck path from (0, 0) to (n, n) is a path in which the only legal moves are to move 1 unit right or 1 unit up and
the path does not cross the main diagonal (the line y = x).",,,248
47,"Compute 5^5^5 · 4^4^4 · 3^3^3 · 2^2^2 · 1^1^1
",,,2352
48,"Define a sequence of sums as follows: S_n*n + 2n^2 + 3n^3 + · · · + 21n^21 =
sum_from_k=1_to_21 of ( kn^k). Compute sum from i=1 to 20 of Si.",,,29
49,What is the 100-volume in (beard seconds)^100 of a 100-dimensional hypersphere with radius 1 angstrom?,,,-210
50,"In thermodynamics, Boltzmann–Planck equation describes the relationship between entropy and the total
number of microstates in the macrostate of an ideal gas. It is given as the equation: S = K_B ln(W) where K_B is the
Boltzmann constant. (Boltzmann’s constant is also equivalent to the ideal gas constant / Avogadro’s constant)
Let n = number of molecules present and e = total energy, where the energy of a molecule is at least 1.
In a system where n = 2 and e = 4, W is found to be 3.
Similarly, in a system where n = 4 and e = 8, W is found to be 35.
Find the entropy of a system in J/K where n = 10^24 and e = 2 × 10^24",,,1
51,"Take the density of the observable universe to be approximately 6 protons/m3. Find the radius of a
Schwarzschild black hole such that the density of the black hole is the same as the density of the observable universe.",,,26
52,"Given Information:
1 Planck Temperature = 1.416784×10^32 K 1 Planck Length = 1.616255×10^?35 m 1 Planck Mass = 2.176434×10^?8
Kg 1 Planck Time = 5.391247 × 10^?44 s
The R-value is a measure of how well a 2-D barrier can resist the conductivity of heat. The SI units for R-value is
Kelvin meters squared per Watt, where the units for Watts are kilogram meters squared per seconds cubed. Convert
1 R-value to Planck R-value, where Planck R-value is the R-value expressed in Planck units.",,,-90
53,"The peak wavelength emitted due to Hawking radiation (in meters), the temperature (Kelvins) of a black
hole, Stefan-Boltzmann’s Law, and the Schwarzschild radius (meters) are given. Find how many photons are released
per second of a 1 solar mass Schwarzschild black hole.
Lambert’s W function W(?4e^?4)
can be approximated as 0. ? = h/2, where h = 6.626 × 10^?34. Boltmann’s
constant = ideal gas constant/Avogadro’s constant.
Calculate temperature and then use Stefan-Boltzmann’s law to find the power per unit area. Find the Schwarzschild
radius and use it to calculate the surface area of the black hole. Multiply that by the power per unit area to find
the total power. Find the peak wavelength of the photons emitted. Determine the frequency of the corresponding
wavelength. Multiply by Planck’s constant to find the energy of the photons emitted. Divide the total power by the
energy per photons to find the number of photons released per second.
Equations:
?_logpeak = M*16?^2*G/(c^2(W(?4e^?4)+4))
T = 1/M * (?c^3/(8?k_bG)
P/A = ?T^4 J/m^2s, ? = 5.6703 × 10^?8 W/m^2K^4
R = M2G/(c^2)",,,1
54,"Observe the previous problem. How many times more photons are released per second for a 1 billion solar
mass Schwarzschild supermassive black hole compared to the 1 solar mass Schwarzschild black hole?",,,-9
55,"A 10 watt light emits only 10 micron photons. These photons all hit a polar bear. How many are reflected
off the polar bear in one second?",,,19
56,"How many of the smallest Nintendo DS game cards would you need to store one image displayed on the
largest Times Square digital billboard?",,,1
57,"Sandy sells seashells by the seashore. If she sells a seashell for every selenium atom in the Sargasso Sea
in seventy seconds and each seashell scoops the sea and scares a squid, how many sverdrups of ink are secreted?",,,21
58,"Wing loading is the total mass of an object divided by the area of its wing. Calculate the ratio of the
wing loading of a Boeing 747 to that of a Monarch butterfly and multiply it by the ratio of the average flight speed
of a Boeing 747 to that of a Monarch butterfly.",,,5
59,"In the board game Risk, each of the six players receive armies that consist of infantry, cavalry, and artillery.
Suppose each of them were their full size equivalent. If all infantry (from all six armies) were running, all cavalry
were galloping, and all artillery fired a cannonball, what is the total kinetic energy, in eV?",,,26
,,,,
